,TL BASED,USD BASED,imkb_x
date,BSE100,BSE200,BSE500
09-Sep-14,9.018997041,8.113899724,9.253993555
10-Sep-14,9.011800405,8.107500158,9.24831608
11-Sep-14,9.011178205,8.108198863,9.250171476
12-Sep-14,9.012896243,8.110463284,9.252553718
15-Sep-14,9.005357169,8.104216945,9.24747044
16-Sep-14,8.98873938,8.085954787,9.227965139
17-Sep-14,8.993537923,8.090730162,9.232299496
18-Sep-14,9.011994306,8.108794785,9.250456838
19-Sep-14,9.010776619,8.107433876,9.249833163
22-Sep-14,9.013603817,8.109579777,9.252011926
23-Sep-14,8.9971323,8.093413388,9.235236866
24-Sep-14,8.994569575,8.090576967,9.231157191
25-Sep-14,8.981171203,8.077145955,9.216609679
26-Sep-14,8.989839576,8.085557604,9.224697809
29-Sep-14,8.988957769,8.086108691,9.226456802
30-Sep-14,8.989158645,8.086976269,9.227517988
01-Oct-14,8.986785486,8.084325026,9.224851573
07-Oct-14,8.974895215,8.072823,9.213675803
08-Oct-14,8.974581329,8.071693279,9.212454136
09-Oct-14,8.989862016,8.086644094,9.227491448
10-Oct-14,8.976696889,8.073374914,9.214325421
13-Oct-14,8.98036982,8.076990665,9.217955305
14-Oct-14,8.9786794,8.07498837,9.216071915
16-Oct-14,8.961857218,8.05756119,9.1979803
17-Oct-14,8.966693048,8.062417034,9.202218479
20-Oct-14,8.979905302,8.075585747,9.214840232
21-Oct-14,8.986355217,8.082482572,9.221652152
22-Oct-14,8.994962837,8.091211041,9.23082414
23-Oct-14,8.998137997,8.095055871,9.235491416
27-Oct-14,8.994446726,8.091177356,9.231529293
28-Oct-14,8.998403787,8.095122978,9.235169561
29-Oct-14,9.005686086,8.102441092,9.242267242
30-Oct-14,9.01562513,8.111676082,9.251194366
31-Oct-14,9.034069672,8.129289967,9.268127088
03-Nov-14,9.034696867,8.131121803,9.270722141
05-Nov-14,9.036100074,8.132647734,9.272015736
07-Nov-14,9.037064975,8.133757641,9.273377141
10-Nov-14,9.037370551,8.134221206,9.273929067
11-Nov-14,9.040007463,8.137749569,9.27778124
12-Nov-14,9.043528712,8.14169651,9.281450068
13-Nov-14,9.039845009,8.138173306,9.278236375
14-Nov-14,9.044026014,8.14285168,9.282843343
17-Nov-14,9.048941991,8.147985757,9.288485897
18-Nov-14,9.049685586,8.14955263,9.290174135
19-Nov-14,9.043364466,8.144142029,9.284642325
20-Nov-14,9.044842893,8.145465522,9.285715898
21-Nov-14,9.053071168,8.152540798,9.291864136
24-Nov-14,9.058224787,8.157158324,9.29604089
25-Nov-14,9.049108849,8.147650092,9.28614797
26-Nov-14,9.050896709,8.149610401,9.288545084
27-Nov-14,9.053352003,8.152445752,9.291207663
28-Nov-14,9.064663521,8.163451085,9.301657134
01-Dec-14,9.061444694,8.160918167,9.29906711
02-Dec-14,9.059260472,8.160223918,9.299035996
03-Dec-14,9.061423804,8.164661083,9.304349706
